Betano-'FC Augsburg-FC Bayern Mnichov' ['8.75', '5.60', '1.32'] ### Smarkets-'FC Augsburg - FC Bayern München' ['12', '7.4', '1.31']
Betano-'Bayer 04 Leverkusen-Borussia Monchengladbach' ['1.33', '5.30', '9.25'] ### Smarkets-'Bayer 04 Leverkusen - Borussia Mönchengladbach' ['1.32', '7.4', '14']
Betano-'Clermont Foot-RC Štrasburk' ['2.75', '3.15', '2.70'] ### Smarkets-'Clermont Foot - RC Strasbourg' ['10.5', '4.7', '1.52']
Betano-'St Johnstone FC-Motherwell FC' ['2.45', '3.20', '3.05'] ### Smarkets-'St Johnstone - Motherwell' ['2.78', '3.85', '2.98']
Betano-'Clermont Foot-RC Štrasburk' ['2.75', '3.15', '2.70'] ### Smarkets-'Clermont Foot - RC Strasbourg' ['11.5', '4.8', '1.5']
Betano-'SC Uniao Torreense-CD Santa Clara-LIVE' ['90.00', '7.20', '1.09'] ### Smarkets-'SC União Torreense - Santa Clara' ['7', '1.5', '6.6']
Betano-'Borussia Monchengladbach-FC Augsburg-LIVE' ['1.37', '4.05', '12.00'] ### Smarkets-'Borussia Mönchengladbach - FC Augsburg' ['1.43', '5.5', '11.5']
Betano-'SD Eibar-CD Mirandes' ['1.87', '3.20', '4.90'] ### Smarkets-'SD Eibar - Mirandés' ['1.85', '4.2', '5.8']
Betano-'Villarreal CF B-SD Huesca' ['2.65', '3.15', '2.85'] ### Smarkets-'Villarreal B - Huesca' ['2.54', '3.55', '3.55']
Betano-'Villarreal CF B-SD Huesca' ['2.65', '3.15', '2.82'] ### Smarkets-'Villarreal B - Huesca' ['2.54', '3.55', '3.55']
Betano-'Borussia Monchengladbach-FC Augsburg-LIVE' ['26.00', '4.80', '1.23'] ### Smarkets-'Borussia Mönchengladbach - FC Augsburg' ['16.5', '4.4', '1.46']
Betano-'AFC Wimbledon-Mansfield Town' ['2.57', '3.15', '2.70'] ### Smarkets-'AFC Wimbledon - Mansfield Town' ['3.15', '3.9', '2.68']
Betano-'SD Eibar-CD Mirandes' ['1.65', '3.60', '5.90'] ### Smarkets-'SD Eibar - Mirandés' ['1.84', '4.2', '5.7']
Betano-'AFC Wimbledon-Mansfield Town' ['2.57', '3.15', '2.70'] ### Smarkets-'AFC Wimbledon - Mansfield Town' ['3.15', '3.9', '2.66']
Betano-'Granada CF-Atletico Madrid' ['4.90', '3.95', '1.70'] ### Smarkets-'Granada CF - Atlético de Madrid' ['5.7', '4.4', '1.69']
Betano-'SD Eibar-CD Mirandes' ['1.65', '3.60', '5.90'] ### Smarkets-'SD Eibar - Mirandés' ['1.82', '4.2', '5.8']
Betano-'Chelsea FC-Middlesbrough FC' ['1.28', '5.70', '10.75'] ### Smarkets-'Chelsea - Middlesbrough' ['1.27', '7.4', '15']
Betano-'Kayserispor-Istanbulspor AS' ['1.65', '4.15', '5.00'] ### Smarkets-'Kayserispor - Istanbulspor' ['1.85', '4.1', '5.5']
Betano-'Chelsea FC-Middlesbrough FC' ['1.28', '5.70', '10.75'] ### Smarkets-'Chelsea - Middlesbrough' ['1.26', '7.8', '14']
Betano-'Real Oviedo-CD Leganes' ['2.10', '3.15', '3.95'] ### Smarkets-'Real Oviedo - Leganés' ['2.38', '3.1', '4.5']
Betano-'VVV Venlo-ADO Den Haag-LIVE' ['1.57', '3.15', '8.50'] ### Smarkets-'VVV-Venlo - ADO Den Haag' ['1.73', '3.9', '7.6']
Betano-'Mansfield Town-Sutton United' ['1.36', '4.85', '7.30'] ### Smarkets-'Mansfield Town - Sutton United' ['1.34', '7.4', '20']
Betano-'Mansfield Town-Sutton United' ['1.36', '4.85', '7.30'] ### Smarkets-'Mansfield Town - Sutton United' ['1.34', '7.4', '21']
Betano-'Peterhead-Stenhousemuir' ['3.80', '3.40', '1.91'] ### Smarkets-'Peterhead - Stenhousemuir' ['7.2', '4.7', '1.84']
Betano-'Peterhead-Stenhousemuir' ['4.15', '3.30', '1.87'] ### Smarkets-'Peterhead - Stenhousemuir' ['7.2', '4.7', '1.84']
Betano-'Mansfield Town-Sutton United' ['1.36', '4.85', '7.30'] ### Smarkets-'Mansfield Town - Sutton United' ['1.34', '7.4', '15.5']
Betano-'Pendikspor-Kasimpasa SK' ['2.52', '3.50', '2.75'] ### Smarkets-'Pendikspor - Kasimpasa' ['2.44', '3.95', '3.05']
Betano-'Pendikspor-Kasimpasa SK' ['2.50', '3.50', '2.72'] ### Smarkets-'Pendikspor - Kasimpasa' ['2.44', '3.95', '3.05']
Betano-'Pendikspor-Kasimpasa SK' ['2.37', '3.50', '2.90'] ### Smarkets-'Pendikspor - Kasimpasa' ['2.58', '3.95', '2.88']
Betano-'Pendikspor-Kasimpasa SK' ['2.32', '3.50', '3.00'] ### Smarkets-'Pendikspor - Kasimpasa' ['2.56', '3.9', '2.92']
Betano-'Pendikspor-Kasimpasa SK' ['2.32', '3.50', '3.00'] ### Smarkets-'Pendikspor - Kasimpasa' ['2.58', '3.95', '2.88']
Betano-'Pendikspor-Kasimpasa SK' ['2.32', '3.50', '3.00'] ### Smarkets-'Pendikspor - Kasimpasa' ['2.56', '3.95', '2.92']
Betano-'Peterhead-Stenhousemuir' ['4.10', '3.35', '1.87'] ### Smarkets-'Peterhead - Stenhousemuir' ['7.2', '4.7', '1.84']
Betano-'Gaziantep FK-Konyaspor' ['2.15', '3.40', '3.45'] ### Smarkets-'Gaziantep - Konyaspor' ['2.14', '3.85', '4.3']
Betano-'Istanbul Basaksehir FK-Fenerbahce SK' ['6.30', '4.35', '1.52'] ### Smarkets-'Istanbul Basaksehir - Fenerbahçe' ['7.8', '5.1', '1.5']
Betano-'Leeds United-Norwich City' ['1.47', '4.55', '6.70'] ### Smarkets-'Leeds United - Norwich City' ['1.45', '5.5', '8.2']
Betano-'Leeds United-Norwich City' ['1.47', '4.55', '6.80'] ### Smarkets-'Leeds United - Norwich City' ['1.45', '5.5', '8.2']
Betano-'Leeds United-Norwich City' ['1.44', '4.70', '7.20'] ### Smarkets-'Leeds United - Norwich City' ['1.43', '5.7', '8.6']
Betano-'Leeds United-Norwich City' ['1.44', '4.70', '7.10'] ### Smarkets-'Leeds United - Norwich City' ['1.43', '5.7', '8.6']
Betano-'Sporting CP-Casa Pia AC' ['1.26', '6.00', '11.50'] ### Smarkets-'Sporting - Casa Pia' ['1.25', '9.2', '24']
Betano-'Sporting CP-Casa Pia AC' ['1.26', '5.90', '11.75'] ### Smarkets-'Sporting - Casa Pia' ['1.25', '9.2', '24']
Betano-'Leeds United-Norwich City' ['1.44', '4.75', '7.10'] ### Smarkets-'Leeds United - Norwich City' ['1.43', '5.7', '8.6']
Betano-'Sporting CP-Casa Pia AC' ['1.26', '5.90', '11.50'] ### Smarkets-'Sporting - Casa Pia' ['1.25', '9.2', '24']
Betano-'Leeds United-Norwich City' ['1.44', '4.75', '7.10'] ### Smarkets-'Leeds United - Norwich City' ['1.42', '5.7', '8.8']
Betano-'Gaziantep FK-Konyaspor-LIVE' ['2.65', '2.67', '3.25'] ### Smarkets-'Gaziantep - Konyaspor' ['1.54', '4.5', '12']
Betano-'Leeds United-Norwich City' ['1.42', '4.80', '7.30'] ### Smarkets-'Leeds United - Norwich City' ['1.41', '5.9', '8.6']
Betano-'Gaziantep FK-Konyaspor-LIVE' ['2.65', '2.67', '3.25'] ### Smarkets-'Gaziantep - Konyaspor' ['3.15', '2.5', '4']
Betano-'Leeds United-Norwich City' ['1.42', '4.75', '7.60'] ### Smarkets-'Leeds United - Norwich City' ['1.41', '5.9', '8.6']
Betano-'Gaziantep FK-Konyaspor-LIVE' ['2.87', '2.37', '3.45'] ### Smarkets-'Gaziantep - Konyaspor' ['1.54', '4.5', '12']
Betano-'Gaziantep FK-Konyaspor-LIVE' ['2.87', '2.30', '3.60'] ### Smarkets-'Gaziantep - Konyaspor' ['1.54', '4.5', '12']
Betano-'Gaziantep FK-Konyaspor-LIVE' ['3.50', '1.72', '5.10'] ### Smarkets-'Gaziantep - Konyaspor' ['4.9', '1.6', '7.4']
